id,country,indicatorType,indicator,unit,year,value
3682,jordan,electricity indicators,Electricity exports,GWh,2010,58
3683,jordan,electricity indicators,Losses,GWh,2010,1989
3684,jordan,electricity indicators,Final electricity consumption,GWh,2010,12837
3685,jordan,electricity indicators,Electricity consumption per capita,GWh,2010,1968.865031
3686,jordan,electricity indicators,Cost of electricity,kWh,2010,
3687,jordan,electricity indicators,Electricity price,$/kWh,2010,
3688,jordan,electricity indicators,Electricity Generation - Crude Oil and Oil Products,$/kWh,2010,28.40224673
3689,jordan,electricity indicators,Electricity Generation - Natural Gas,%,2010,71.17141504
3690,jordan,electricity indicators,Electricity Generation - Coal,%,2010,0
3691,jordan,electricity indicators,Electricity Generation - Nuclear,%,2010,0
3692,jordan,electricity indicators,Electricity Generation - Renewables,%,2010,0.426338228
3693,jordan,electricity indicators,Electricity Generation - Solar,%,2010,0
3694,jordan,electricity indicators,Electricity Generation - Wind,%,2010,0.013534547
3695,jordan,electricity indicators,Electricity Generation - Hydropower,%,2010,0.412803681
3696,jordan,electricity indicators,Electricity Generation - Other,%,2010,0
3697,jordan,energy efficiency indicators,RISE score,%,2017,
3698,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2017,
3699,jordan,energy efficiency indicators,Energy efficiency potential,/100,2017,
3700,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2017,
3701,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2017,
3702,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2017,
3703,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2017,
3704,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2017,
3705,jordan,energy efficiency indicators,RISE score,% of EE potential,2016,75.7
3706,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2016,56.52
3707,jordan,energy efficiency indicators,Energy efficiency potential,/100,2016,
3708,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2016,
3709,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2016,
3710,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2016,
3711,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2016,
3712,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2016,
3713,jordan,energy efficiency indicators,RISE score,% of EE potential,2015,
3714,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2015,
3715,jordan,energy efficiency indicators,Energy efficiency potential,/100,2015,
3716,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2015,
3717,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2015,
3718,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2015,
3719,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2015,
3720,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2015,
3721,jordan,energy efficiency indicators,RISE score,% of EE potential,2014,
3722,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2014,
3723,jordan,energy efficiency indicators,Energy efficiency potential,/100,2014,
3724,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2014,
3725,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2014,
3726,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2014,
3727,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2014,
3728,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2014,
3729,jordan,energy efficiency indicators,RISE score,% of EE potential,2013,
3730,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2013,
3731,jordan,energy efficiency indicators,Energy efficiency potential,/100,2013,
3732,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2013,
3733,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2013,
3734,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2013,
3735,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2013,
3736,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2013,
3737,jordan,energy efficiency indicators,RISE score,% of EE potential,2012,
3738,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2012,
3739,jordan,energy efficiency indicators,Energy efficiency potential,/100,2012,
3740,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2012,
3741,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2012,
3742,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2012,
3743,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2012,
3744,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2012,
3745,jordan,energy efficiency indicators,RISE score,% of EE potential,2011,
3746,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2011,
3747,jordan,energy efficiency indicators,Energy efficiency potential,/100,2011,
3748,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2011,
3749,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2011,
3750,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2011,
3751,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2011,
3752,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2011,
3753,jordan,energy efficiency indicators,RISE score,% of EE potential,2010,
3754,jordan,energy efficiency indicators,RISE energy efficiency score,/100,2010,
3755,jordan,energy efficiency indicators,Energy efficiency potential,/100,2010,
3756,jordan,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of TPES,2010,
3757,jordan,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2010,
3758,jordan,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2010,
3759,jordan,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2010,
3760,jordan,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2010,
3761,kuwait,economic indicators,GDP,% of EE potential,2017,
3762,kuwait,economic indicators,GDP based on PPP,US $B,2017,
3763,kuwait,economic indicators,Real GDP growth,Int. $B,2017,
3764,kuwait,economic indicators,GDP per capita,%,2017,
3765,kuwait,economic indicators,GDP per capita based on PPP,US $,2017,
3766,kuwait,economic indicators,Population,Int. $B,2017,
3767,kuwait,economic indicators,Land Area,million,2017,
3768,kuwait,economic indicators,Human Development Index,sq.km,2017,
3769,kuwait,economic indicators,Inflation rate,,2017,
3770,kuwait,economic indicators,Unemployment rate,%,2017,
3771,kuwait,economic indicators,Current account balance,%,2017,
3772,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2017,
3773,kuwait,economic indicators,International Reserves,%,2017,
3774,kuwait,economic indicators,CO2 emissions intensity,US $B,2017,
3775,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2017,
3776,kuwait,economic indicators,GDP,metric tons,2016,110.46
3777,kuwait,economic indicators,GDP based on PPP,US $B,2016,301.06
3778,kuwait,economic indicators,Real GDP growth,Int. $B,2016,2.5
3779,kuwait,economic indicators,GDP per capita,%,2016,26146
3780,kuwait,economic indicators,GDP per capita based on PPP,US $,2016,71264
3781,kuwait,economic indicators,Population,Int. $B,2016,4.01
3782,kuwait,economic indicators,Land Area,million,2016,17820
3783,kuwait,economic indicators,Human Development Index,sq.km,2016,
3784,kuwait,economic indicators,Inflation rate,,2016,3.4
3785,kuwait,economic indicators,Unemployment rate,%,2016,2.1
3786,kuwait,economic indicators,Current account balance,%,2016,3.9
3787,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2016,18.3
3788,kuwait,economic indicators,International Reserves,%,2016,
3789,kuwait,economic indicators,CO2 emissions intensity,US $B,2016,
3790,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2016,
3791,kuwait,economic indicators,GDP,metric tons,2015,114.08
3792,kuwait,economic indicators,GDP based on PPP,US $B,2015,289.93
3793,kuwait,economic indicators,Real GDP growth,Int. $B,2015,1.1
3794,kuwait,economic indicators,GDP per capita,%,2015,27756
3795,kuwait,economic indicators,GDP per capita based on PPP,US $,2015,70542
3796,kuwait,economic indicators,Population,Int. $B,2015,3.89
3797,kuwait,economic indicators,Land Area,million,2015,17820
3798,kuwait,economic indicators,Human Development Index,sq.km,2015,
3799,kuwait,economic indicators,Inflation rate,,2015,3.2
3800,kuwait,economic indicators,Unemployment rate,%,2015,2.1
3801,kuwait,economic indicators,Current account balance,%,2015,6
3802,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2015,11.2
3803,kuwait,economic indicators,International Reserves,%,2015,30.96
3804,kuwait,economic indicators,CO2 emissions intensity,US $B,2015,363.74
3805,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2015,24.41
3806,kuwait,economic indicators,GDP,metric tons,2014,162.7
3807,kuwait,economic indicators,GDP based on PPP,US $B,2014,283.62
3808,kuwait,economic indicators,Real GDP growth,Int. $B,2014,0.6
3809,kuwait,economic indicators,GDP per capita,%,2014,40689
3810,kuwait,economic indicators,GDP per capita based on PPP,US $,2014,70931
3811,kuwait,economic indicators,Population,Int. $B,2014,3.75
3812,kuwait,economic indicators,Land Area,million,2014,17820
3813,kuwait,economic indicators,Human Development Index,sq.km,2014,0.82
3814,kuwait,economic indicators,Inflation rate,,2014,2.9
3815,kuwait,economic indicators,Unemployment rate,%,2014,2.1
3816,kuwait,economic indicators,Current account balance,%,2014,54.2
3817,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2014,7.5
3818,kuwait,economic indicators,International Reserves,%,2014,35.18
3819,kuwait,economic indicators,CO2 emissions intensity,US $B,2014,350.1
3820,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2014,24.46
3821,kuwait,economic indicators,GDP,metric tons,2013,174.18
3822,kuwait,economic indicators,GDP based on PPP,US $B,2013,276.91
3823,kuwait,economic indicators,Real GDP growth,Int. $B,2013,0.4
3824,kuwait,economic indicators,GDP per capita,%,2013,44775
3825,kuwait,economic indicators,GDP per capita based on PPP,US $,2013,71184
3826,kuwait,economic indicators,Population,Int. $B,2013,3.59
3827,kuwait,economic indicators,Land Area,million,2013,17820
3828,kuwait,economic indicators,Human Development Index,sq.km,2013,0.81
3829,kuwait,economic indicators,Inflation rate,,2013,2.7
3830,kuwait,economic indicators,Unemployment rate,%,2013,2.1
3831,kuwait,economic indicators,Current account balance,%,2013,69.5
3832,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2013,6.5
3833,kuwait,economic indicators,International Reserves,%,2013,32.41
3834,kuwait,economic indicators,CO2 emissions intensity,US $B,2013,342.24
3835,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2013,25.39
3836,kuwait,economic indicators,GDP,metric tons,2012,174.07
3837,kuwait,economic indicators,GDP based on PPP,US $B,2012,271.52
3838,kuwait,economic indicators,Real GDP growth,Int. $B,2012,7.9
3839,kuwait,economic indicators,GDP per capita,%,2012,45994
3840,kuwait,economic indicators,GDP per capita based on PPP,US $,2012,71744
3841,kuwait,economic indicators,Population,Int. $B,2012,3.42
3842,kuwait,economic indicators,Land Area,million,2012,17820
3843,kuwait,economic indicators,Human Development Index,sq.km,2012,0.81
3844,kuwait,economic indicators,Inflation rate,,2012,3.2
3845,kuwait,economic indicators,Unemployment rate,%,2012,2.1
3846,kuwait,economic indicators,Current account balance,%,2012,79.1
3847,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2012,6.8
3848,kuwait,economic indicators,International Reserves,%,2012,33.11
3849,kuwait,economic indicators,CO2 emissions intensity,US $B,2012,349.44
3850,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2012,26.93
3851,kuwait,economic indicators,GDP,metric tons,2011,154.02
3852,kuwait,economic indicators,GDP based on PPP,US $B,2011,247.18
3853,kuwait,economic indicators,Real GDP growth,Int. $B,2011,10.9
3854,kuwait,economic indicators,GDP per capita,%,2011,41831
3855,kuwait,economic indicators,GDP per capita based on PPP,US $,2011,67133
3856,kuwait,economic indicators,Population,Int. $B,2011,3.24
3857,kuwait,economic indicators,Land Area,million,2011,17820
3858,kuwait,economic indicators,Human Development Index,sq.km,2011,0.81
3859,kuwait,economic indicators,Inflation rate,,2011,4.9
3860,kuwait,economic indicators,Unemployment rate,%,2011,2.1
3861,kuwait,economic indicators,Current account balance,%,2011,66.1
3862,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2011,8.5
3863,kuwait,economic indicators,International Reserves,%,2011,29.68
3864,kuwait,economic indicators,CO2 emissions intensity,US $B,2011,365.36
3865,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2011,27.88
3866,kuwait,economic indicators,GDP,metric tons,2010,115.4
3867,kuwait,economic indicators,GDP based on PPP,US $B,2010,218.31
3868,kuwait,economic indicators,Real GDP growth,Int. $B,2010,-2.4
3869,kuwait,economic indicators,GDP per capita,%,2010,32216
3870,kuwait,economic indicators,GDP per capita based on PPP,US $,2010,60947
3871,kuwait,economic indicators,Population,Int. $B,2010,3.06
3872,kuwait,economic indicators,Land Area,million,2010,17820
3873,kuwait,economic indicators,Human Development Index,sq.km,2010,0.81
3874,kuwait,economic indicators,Inflation rate,,2010,4.5
3875,kuwait,economic indicators,Unemployment rate,%,2010,2.1
3876,kuwait,economic indicators,Current account balance,%,2010,36.7
3877,kuwait,economic indicators,Government Gross Debt (share of GDP),US $B,2010,11.3
3878,kuwait,economic indicators,International Reserves,%,2010,24.8
3879,kuwait,economic indicators,CO2 emissions intensity,US $B,2010,385.14
3880,kuwait,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2010,28.38
3881,kuwait,energy indicators,Gross energy production,metric tons,2017,
3882,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2017,
3883,kuwait,energy indicators,Gross energy production - Natural Gas,%,2017,
3884,kuwait,energy indicators,Gross energy production - Coal,%,2017,
3885,kuwait,energy indicators,Gross energy production - Nuclear,%,2017,
3886,kuwait,energy indicators,Gross energy production - Renewables,%,2017,
3887,kuwait,energy indicators,Gross energy production - Solar,%,2017,
3888,kuwait,energy indicators,Gross energy production - Wind,%,2017,
3889,kuwait,energy indicators,Gross energy production - Hydropower,%,2017,
3890,kuwait,energy indicators,Gross energy production - Other,%,2017,
3891,kuwait,energy indicators,Total energy export,%,2017,
3892,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2017,
3893,kuwait,energy indicators,Total energy export - Natural Gas,%,2017,
3894,kuwait,energy indicators,Total energy export - Coal,%,2017,
3895,kuwait,energy indicators,Total energy export - Electricity,%,2017,
3896,kuwait,energy indicators,Total energy import,%,2017,
3897,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2017,
3898,kuwait,energy indicators,Total energy import - Natural Gas,%,2017,
3899,kuwait,energy indicators,Total energy import - Coal,%,2017,
3900,kuwait,energy indicators,Total energy import - Electricity,%,2017,
3901,kuwait,energy indicators,Total primary energy supply (TPES),%,2017,
3902,kuwait,energy indicators,Primary energy supply per capita,ktoe,2017,
3903,kuwait,energy indicators,Energy productivity,toe,2017,
3904,kuwait,energy indicators,Energy subsidies,$/kgoe,2017,
3905,kuwait,energy indicators,Final energy consumption,$B,2017,
3906,kuwait,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2017,
3907,kuwait,energy indicators,Final energy consumption - Natural Gas,%,2017,
3908,kuwait,energy indicators,Final energy consumption - Coal,%,2017,
3909,kuwait,energy indicators,Final energy consumption - Electricity,%,2017,
3910,kuwait,energy indicators,Final energy consumption - Other,%,2017,
3911,kuwait,energy indicators,Energy use per capita,%,2017,
3912,kuwait,energy indicators,Energy use by Sector - Industry,toe,2017,
3913,kuwait,energy indicators,Energy use by Sector - Transport,%,2017,
3914,kuwait,energy indicators,Energy use by Sector - Residential,%,2017,
3915,kuwait,energy indicators,Energy use by Sector - Tertiary,%,2017,
3916,kuwait,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2017,
3917,kuwait,energy indicators,Energy use by Sector - Other,%,2017,
3918,kuwait,energy indicators,Gross energy production,%,2016,
3919,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2016,
3920,kuwait,energy indicators,Gross energy production - Natural Gas,%,2016,
3921,kuwait,energy indicators,Gross energy production - Coal,%,2016,
3922,kuwait,energy indicators,Gross energy production - Nuclear,%,2016,
3923,kuwait,energy indicators,Gross energy production - Renewables,%,2016,
3924,kuwait,energy indicators,Gross energy production - Solar,%,2016,
3925,kuwait,energy indicators,Gross energy production - Wind,%,2016,
3926,kuwait,energy indicators,Gross energy production - Hydropower,%,2016,
3927,kuwait,energy indicators,Gross energy production - Other,%,2016,
3928,kuwait,energy indicators,Total energy export,%,2016,
3929,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2016,
3930,kuwait,energy indicators,Total energy export - Natural Gas,%,2016,
3931,kuwait,energy indicators,Total energy export - Coal,%,2016,
3932,kuwait,energy indicators,Total energy export - Electricity,%,2016,
3933,kuwait,energy indicators,Total energy import,%,2016,
3934,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2016,
3935,kuwait,energy indicators,Total energy import - Natural Gas,%,2016,
3936,kuwait,energy indicators,Total energy import - Coal,%,2016,
3937,kuwait,energy indicators,Total energy import - Electricity,%,2016,
3938,kuwait,energy indicators,Total primary energy supply (TPES),%,2016,
3939,kuwait,energy indicators,Primary energy supply per capita,ktoe,2016,
3940,kuwait,energy indicators,Energy productivity,toe,2016,
3941,kuwait,energy indicators,Energy subsidies,$/kgoe,2016,
3942,kuwait,energy indicators,Final energy consumption,$B,2016,
3943,kuwait,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2016,
3944,kuwait,energy indicators,Final energy consumption - Natural Gas,%,2016,
3945,kuwait,energy indicators,Final energy consumption - Coal,%,2016,
3946,kuwait,energy indicators,Final energy consumption - Electricity,%,2016,
3947,kuwait,energy indicators,Final energy consumption - Other,%,2016,
3948,kuwait,energy indicators,Energy use per capita,%,2016,
3949,kuwait,energy indicators,Energy use by Sector - Industry,toe,2016,
3950,kuwait,energy indicators,Energy use by Sector - Transport,%,2016,
3951,kuwait,energy indicators,Energy use by Sector - Residential,%,2016,
3952,kuwait,energy indicators,Energy use by Sector - Tertiary,%,2016,
3953,kuwait,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2016,
3954,kuwait,energy indicators,Energy use by Sector - Other,%,2016,
3955,kuwait,energy indicators,Gross energy production,%,2015,
3956,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2015,
3957,kuwait,energy indicators,Gross energy production - Natural Gas,%,2015,
3958,kuwait,energy indicators,Gross energy production - Coal,%,2015,
3959,kuwait,energy indicators,Gross energy production - Nuclear,%,2015,
3960,kuwait,energy indicators,Gross energy production - Renewables,%,2015,
3961,kuwait,energy indicators,Gross energy production - Solar,%,2015,
3962,kuwait,energy indicators,Gross energy production - Wind,%,2015,
3963,kuwait,energy indicators,Gross energy production - Hydropower,%,2015,
3964,kuwait,energy indicators,Gross energy production - Other,%,2015,
3965,kuwait,energy indicators,Total energy export,%,2015,
3966,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2015,
3967,kuwait,energy indicators,Total energy export - Natural Gas,%,2015,
3968,kuwait,energy indicators,Total energy export - Coal,%,2015,
3969,kuwait,energy indicators,Total energy export - Electricity,%,2015,
3970,kuwait,energy indicators,Total energy import,%,2015,
3971,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2015,
3972,kuwait,energy indicators,Total energy import - Natural Gas,%,2015,
3973,kuwait,energy indicators,Total energy import - Coal,%,2015,
3974,kuwait,energy indicators,Total energy import - Electricity,%,2015,
3975,kuwait,energy indicators,Total primary energy supply (TPES),%,2015,
3976,kuwait,energy indicators,Primary energy supply per capita,ktoe,2015,
3977,kuwait,energy indicators,Energy productivity,toe,2015,
3978,kuwait,energy indicators,Energy subsidies,$/kgoe,2015,14.09707804
3979,kuwait,energy indicators,Final energy consumption,$B,2015,
3980,kuwait,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2015,
3981,kuwait,energy indicators,Final energy consumption - Natural Gas,%,2015,
3982,kuwait,energy indicators,Final energy consumption - Coal,%,2015,
3983,kuwait,energy indicators,Final energy consumption - Electricity,%,2015,
3984,kuwait,energy indicators,Final energy consumption - Other,%,2015,
3985,kuwait,energy indicators,Energy use per capita,%,2015,
3986,kuwait,energy indicators,Energy use by Sector - Industry,toe,2015,
3987,kuwait,energy indicators,Energy use by Sector - Transport,%,2015,
3988,kuwait,energy indicators,Energy use by Sector - Residential,%,2015,
3989,kuwait,energy indicators,Energy use by Sector - Tertiary,%,2015,
3990,kuwait,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2015,
3991,kuwait,energy indicators,Energy use by Sector - Other,%,2015,
3992,kuwait,energy indicators,Gross energy production,%,2014,166364.354
3993,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2014,92.62293292
3994,kuwait,energy indicators,Gross energy production - Natural Gas,%,2014,7.377067085
3995,kuwait,energy indicators,Gross energy production - Coal,%,2014,0
3996,kuwait,energy indicators,Gross energy production - Nuclear,%,2014,0
3997,kuwait,energy indicators,Gross energy production - Renewables,%,2014,0
3998,kuwait,energy indicators,Gross energy production - Solar,%,2014,0
3999,kuwait,energy indicators,Gross energy production - Wind,%,2014,0
4000,kuwait,energy indicators,Gross energy production - Hydropower,%,2014,0
4001,kuwait,energy indicators,Gross energy production - Other,%,2014,0
4002,kuwait,energy indicators,Total energy export,%,2014,133968.777
4003,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2014,100
4004,kuwait,energy indicators,Total energy export - Natural Gas,%,2014,0
4005,kuwait,energy indicators,Total energy export - Coal,%,2014,0
4006,kuwait,energy indicators,Total energy export - Electricity,%,2014,0
4007,kuwait,energy indicators,Total energy import,%,2014,2825.505
4008,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2014,0
4009,kuwait,energy indicators,Total energy import - Natural Gas,%,2014,100
4010,kuwait,energy indicators,Total energy import - Coal,%,2014,0
4011,kuwait,energy indicators,Total energy import - Electricity,%,2014,0
4012,kuwait,energy indicators,Total primary energy supply (TPES),%,2014,33878.725
4013,kuwait,energy indicators,Primary energy supply per capita,ktoe,2014,9.034326667
4014,kuwait,energy indicators,Energy productivity,toe,2014,4.80242394
4015,kuwait,energy indicators,Energy subsidies,$/kgoe,2014,
4016,kuwait,energy indicators,Final energy consumption,$B,2014,17080.356
4017,kuwait,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2014,49.49085956
4018,kuwait,energy indicators,Final energy consumption - Natural Gas,%,2014,28.83236157
4019,kuwait,energy indicators,Final energy consumption - Coal,%,2014,0
4020,kuwait,energy indicators,Final energy consumption - Electricity,%,2014,21.67678472
4021,kuwait,energy indicators,Final energy consumption - Other,%,2014,-5.85E-06
4022,kuwait,energy indicators,Energy use per capita,%,2014,4.5547616
4023,kuwait,energy indicators,Energy use by Sector - Industry,toe,2014,34.1546394
4024,kuwait,energy indicators,Energy use by Sector - Transport,%,2014,25.96628548
4025,kuwait,energy indicators,Energy use by Sector - Residential,%,2014,15.08484366
4026,kuwait,energy indicators,Energy use by Sector - Tertiary,%,2014,7.769545319
4027,kuwait,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2014,0
4028,kuwait,energy indicators,Energy use by Sector - Other,%,2014,17.02468614
4029,kuwait,energy indicators,Gross energy production,%,2013,170341.943
4030,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2013,92.18039858
4031,kuwait,energy indicators,Gross energy production - Natural Gas,%,2013,7.819601424
4032,kuwait,energy indicators,Gross energy production - Coal,%,2013,0
4033,kuwait,energy indicators,Gross energy production - Nuclear,%,2013,0
4034,kuwait,energy indicators,Gross energy production - Renewables,%,2013,0
4035,kuwait,energy indicators,Gross energy production - Solar,%,2013,0
4036,kuwait,energy indicators,Gross energy production - Wind,%,2013,0
4037,kuwait,energy indicators,Gross energy production - Hydropower,%,2013,0
4038,kuwait,energy indicators,Gross energy production - Other,%,2013,0
4039,kuwait,energy indicators,Total energy export,%,2013,135948.024
4040,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2013,100
4041,kuwait,energy indicators,Total energy export - Natural Gas,%,2013,0
4042,kuwait,energy indicators,Total energy export - Coal,%,2013,0
4043,kuwait,energy indicators,Total energy export - Electricity,%,2013,0
4044,kuwait,energy indicators,Total energy import,%,2013,1780.232
4045,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2013,0
4046,kuwait,energy indicators,Total energy import - Natural Gas,%,2013,100
4047,kuwait,energy indicators,Total energy import - Coal,%,2013,0
4048,kuwait,energy indicators,Total energy import - Electricity,%,2013,0
4049,kuwait,energy indicators,Total primary energy supply (TPES),%,2013,34934.104
4050,kuwait,energy indicators,Primary energy supply per capita,ktoe,2013,9.730948189
4051,kuwait,energy indicators,Energy productivity,toe,2013,4.985958707
4052,kuwait,energy indicators,Energy subsidies,$/kgoe,2013,20.9030498
4053,kuwait,energy indicators,Final energy consumption,$B,2013,15843.569
4054,kuwait,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2013,52.80400521
4055,kuwait,energy indicators,Final energy consumption - Natural Gas,%,2013,25.61616641
4056,kuwait,energy indicators,Final energy consumption - Coal,%,2013,0
4057,kuwait,energy indicators,Final energy consumption - Electricity,%,2013,21.5798347
4058,kuwait,energy indicators,Final energy consumption - Other,%,2013,-6.31E-06
4059,kuwait,energy indicators,Energy use per capita,%,2013,4.413250418
4060,kuwait,energy indicators,Energy use by Sector - Industry,toe,2013,31.21031
4061,kuwait,energy indicators,Energy use by Sector - Transport,%,2013,27.3861527
4062,kuwait,energy indicators,Energy use by Sector - Residential,%,2013,15.15816922
4063,kuwait,energy indicators,Energy use by Sector - Tertiary,%,2013,7.618838912
4064,kuwait,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2013,0
4065,kuwait,energy indicators,Energy use by Sector - Other,%,2013,18.62652916
4066,kuwait,energy indicators,Gross energy production,%,2012,173109.897
4067,kuwait,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2012,92.6810314
4068,kuwait,energy indicators,Gross energy production - Natural Gas,%,2012,7.318968597
4069,kuwait,energy indicators,Gross energy production - Coal,%,2012,0
4070,kuwait,energy indicators,Gross energy production - Nuclear,%,2012,0
4071,kuwait,energy indicators,Gross energy production - Renewables,%,2012,0
4072,kuwait,energy indicators,Gross energy production - Solar,%,2012,0
4073,kuwait,energy indicators,Gross energy production - Wind,%,2012,0
4074,kuwait,energy indicators,Gross energy production - Hydropower,%,2012,0
4075,kuwait,energy indicators,Gross energy production - Other,%,2012,0
4076,kuwait,energy indicators,Total energy export,%,2012,136837.495
4077,kuwait,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2012,100
4078,kuwait,energy indicators,Total energy export - Natural Gas,%,2012,0
4079,kuwait,energy indicators,Total energy export - Coal,%,2012,0
4080,kuwait,energy indicators,Total energy export - Electricity,%,2012,0
4081,kuwait,energy indicators,Total energy import,%,2012,2164.043
4082,kuwait,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2012,0
4083,kuwait,energy indicators,Total energy import - Natural Gas,%,2012,100
4084,kuwait,energy indicators,Total energy import - Coal,%,2012,0
